Architect|Borough|DateDesignated|LPCId|LPNumber|Name|ObjectType|PhotoStatus|PhotoURL|Street|Style
Unknown|Manhattan|10/29/1968|56|LP-00056|191 Front Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0056.jpg|191 Front Street|Federal
Unknown|Manhattan|10/29/1968|57|LP-00057|193 Front Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0057.jpg|193 Front Street|Federal
Unknown|Manhattan|10/29/1968|58|LP-00058|195 Front Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0058.jpg|195 Front Street|Federal
Unknown|Manhattan|10/29/1968|59|LP-00059|18 Fulton Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0059.jpg|18 Fulton Street|Federal
Unknown|Manhattan|10/29/1968|60|LP-00060|16 Fulton Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0060.jpg|16 Fulton Street|Federal
Unknown|Manhattan|10/29/1968|61|LP-00061|14 Fulton Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0061.jpg|14 Fulton Street|Federal
Unknown|Manhattan|10/29/1968|62|LP-00062|12 Fulton Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0062.jpg|12 Fulton Street|Federal
Unknown|Manhattan|10/29/1968|64|LP-00064|8 Fulton Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0064.jpg|8 Fulton Street|Federal
Unknown|Manhattan|10/29/1968|65|LP-00065|6 Fulton Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0065.jpg|6 Fulton Street|Federal
Unknown|Manhattan|10/29/1968|66|LP-00066|4 Fulton Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0066.jpg|4 Fulton Street|Federal
Unknown|Manhattan|10/29/1968|67|LP-00067|2 Fulton Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0067.jpg|2 Fulton Street|Federal
Unknown|Manhattan|10/29/1968|68|LP-00068|92 South Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0068.jpg|92 South Street|Federal
Unknown|Manhattan|10/29/1968|69|LP-00069|91 South Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0069.jpg|91 South Street|Federal
Unknown|Manhattan|10/29/1968|70|LP-00070|167-171 John Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0070.jpg|167-171 John Street|Greek Revival
Unknown|Manhattan|10/29/1968|71|LP-00071|165 John Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0071.jpg|165 John Street|Federal
Unknown|Manhattan|10/29/1968|72|LP-00072|159-163 John Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0072.jpg|159-163 John Street|Greek Revival
Unknown|Manhattan|10/29/1968|73|LP-00073|189 Front Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0073.jpg|189 Front Street|Greek Revival
Unknown|Manhattan|10/29/1968|74|LP-00074|Hickson W. Field Stores|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0074.jpg|170-176 John Street|Greek Revival
Unknown|Manhattan|8/16/1966|75|LP-00075|Saint Paul's Chapel and Graveyard|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0075.jpg|Broadway At Fulton Street|Georgian
Cass Gilbert|Manhattan|11/23/1965|76|LP-00076|New York County Lawyers' Association Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0076.jpg|14 Vesey Street|Neo Georgian
Robert D. Kohn|Manhattan|11/23/1965|77|LP-00077|New York Evening Post Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0077.jpg|20 Vesey Street|Viennese Secession
John R. Haggarty; Thomas Thomas|Manhattan|12/21/1965|78|LP-00078|Saint Peter's Roman Catholic Church|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0078.jpg|22 Barclay Street|Greek Revival
McKim, Mead & White; William M. Kendall|Manhattan|2/1/1966|79|LP-00079|Municipal Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0079.jpg|1 Centre Street|Beaux Arts
Joseph-François Mangin; John McComb, Jr.|Manhattan|2/1/1966|80|LP-00080|City Hall|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0080.jpg|City Hall Park|18th century French civic building
John R. Thomas; Horgan & Slattery|Manhattan|2/15/1966|82|LP-00082|Hall of Records|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0082.jpg|31 Chambers Street|Beaux Arts
Guy Lowell|Manhattan|2/1/1966|83|LP-00083|New York County Courthouse|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0083.jpg|60 Centre Street|Roman Classical
Unknown|Manhattan|8/23/1966|84|LP-00084|Edward Mooney House|Individual Landmark|FALSE||18 Bowery|Georgian
Unknown|Manhattan|2/1/1966|85|LP-00085|Zion English Lutheran Church|Individual Landmark|FALSE||25 Mott Street|Georgian-Gothic
Unknown|Manhattan|7/19/1966|86|LP-00086|2 White Street House|Individual Landmark|FALSE||2 White Street|Federal
Napoleon Le Brun|Manhattan|1/18/1966|87|LP-00087|Fire Engine Company No. 31|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0087.jpg|87 Lafayette Street|French Renaissance Eclectic
Unknown|Manhattan|8/16/1966|88|LP-00088|All Saints' Free Church|Individual Landmark|FALSE||290 Henry Street|Georgian-Gothic
Unknown|Manhattan|2/1/1966|91|LP-00091|Shearith Israel Graveyard|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0091.jpg|55-57 Saint James Place|N/A
Unknown|Manhattan|1/18/1966|92|LP-00092|Saint James Roman Catholic Church|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0092.jpg|32 James Street|Greek Revival
Isaac Lucas|Manhattan|2/1/1966|93|LP-00093|Oliver Street Baptist Church|Individual Landmark|FALSE||12 Oliver Street|Greek Revival
Unknown|Manhattan|1/18/1966|94|LP-00094|Northern Reformed Church|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0094.jpg|61 Henry Street|Georgian-Gothic
Unknown|Manhattan|1/18/1966|95|LP-00095|263 Henry Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0095.jpg|263 Henry Street|Federal
Unknown|Manhattan|1/18/1966|96|LP-00096|265 Henry Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0096.jpg|265 Henry Street|Federal
Buchman & Fox|Manhattan|1/18/1966|97|LP-00097|267 Henry Street Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0097.jpg|267 Henry Street|Colonial Revival
John A. Washington and Emily Roebling|NA|8/24/1967|98|LP-00098|Brooklyn Bridge|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0098.jpg|Brooklyn Bridge, City Hall Park (Manhattan) To Cadman Plaza (Brooklyn)|Gothic
Unknown|Brooklyn|11/23/1965|99|LP-00099|Brooklyn Heights Historic District|Historic District|TRUE|http://www.nyc.gov/html/lpc/images/lp/0099.jpg||N/A
Unknown|Bronx|6/9/1967|101|LP-00101|St. Ann's Church and Graveyard|Individual Landmark|FALSE||295 St Ann'S Avenue|Vernacular, Gothic, Greek Revival
Charles A. Platt|Bronx|1/11/1967|108|LP-00108|Rainey Memorial Gates|Individual Landmark|FALSE||Concourse Entrance (Facing Pelham Parkway Between Lake Agassiz And Cope Lake), New York Zoological Park, Bronx Park|N/A
Unknown|Bronx|2/20/1968|109|LP-00109|Rockefeller Fountain|Individual Landmark|FALSE||2300 Southern Boulevard|N/A
Unknown|Bronx|2/15/1966|110|LP-00110|Poe Cottage|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0110.jpg|2640 Grand Concourse|Wood frame farm cottage
McKim Mead and White and Stanford White|Bronx|2/15/1966|112|LP-00112|Gould Memorial Library, New York University (Bronx Community College)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0112.jpg|2060 Sedgwick Avenue|N/A
McKim Mead and White and Stanford White|Bronx|2/15/1966|113|LP-00113|Hall of Fame, New York University (Bronx Community College)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0113.jpg|2030 Sedgwick Avenue|N/A
McKim Mead and White and Stanford White|Bronx|2/15/1966|114|LP-00114|Hall of Languages, New York University (Bronx Community College)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0114.jpg|2050 Sedgwick Avenue|N/A
McKim Mead and White and Stanford White|Bronx|2/15/1966|115|LP-00115|Cornelius Baker Hall of Philosophy, New York University (Bronx Community College)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0115.jpg|2070 Sedgwick Avenue|Neoclassical, Renaissance
Unknown|Bronx|8/18/1970|116|LP-00116|Rose Hill (Fordham University Administration Building)|Individual Landmark|FALSE||441 East Fordham Road|Greek Revival
William Rodrigue|Bronx|8/18/1970|117|LP-00117|Fordham University Chapel ( St. John's Church)|Individual Landmark|FALSE||441B East Fordham Road|Neo-Gothic
Unknown|Bronx|8/18/1970|118|LP-00118|St. John's Residence Hall (Fordham University)|Individual Landmark|FALSE||405 East Fordham Road|N/A
Unknown|Bronx|3/15/1966|119|LP-00119|Varian House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0119.jpg|3266 Bainbridge Avenue|Vernacular Georgian
Unknown|Bronx|4/19/1966|121|LP-00121|Lorillard Snuff Mill at the New York Botanical Garden|Individual Landmark|FALSE||2855 Bronx Park East|Utiltarian/Industrial?
Cpt. I. L. Smith|Bronx|4/19/1966|124|LP-00124|Fort Schuyler, State University of New York Maritime College)|Individual Landmark|FALSE||Ft Schuyler Park|N/A
Unknown|Bronx|2/15/1966|125|LP-00125|Bartow-Pell Mansion|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0125.jpg|Pelham Bay Park|N/A
Unknown|Bronx|1/10/1978|0125E|LP-00125E|Bartow-Pell Mansion, Expanded Landmark Site|Individual Landmark|FALSE||Pelham Bay Park|N/A
R. Upjohn & Sons|Bronx|1/11/1967|126|LP-00126|Christ Church|Individual Landmark|FALSE||5040 Henry Hudson Pkwy E|High Victorian Gothic
Unknown|Bronx|3/15/1966|127|LP-00127|Van Cortlandt Mansion|Individual Landmark|FALSE||Broadway|Dutch Colonial
James Renwick Jr.|Bronx|4/19/1966|128|LP-00128|Riverdale Presbyterian Church|Individual Landmark|FALSE||4759 Henry Hudson Pkwy W|Gothic Revival
Unknown|Bronx|4/19/1966|129|LP-00129|Duff House|Individual Landmark|FALSE||4767 Henry Hudson Pkwy W|N/A
Unknown|Bronx|6/21/1966|131|LP-00131|Wave Hill House|Individual Landmark|FALSE||665 West 252 Street|N/A
Unknown|Bronx|3/15/1966|133|LP-00133|Fonthill (College Library)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0133.jpg|6261 Riverdale Avenue|Gothic
Unknown|Queens|3/15/1966|135|LP-00135|Lent Homestead|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0135.jpg|78-03 19 Road|Dutch Colonial
Unknown|Queens|4/19/1966|136|LP-00136|Lawrence Family Graveyard|Individual Landmark|FALSE||20 Road|N/A
Unknown|Queens|7/19/1966|138|LP-00138|Reformed Dutch Church of Newton and Fellowship Hall|Individual Landmark|FALSE||85-15 Broadway|Georgian
Unknown|Queens|7/30/1968|139|LP-00139|Flushing Municipal Courhouse|Individual Landmark|FALSE||137-35 Northern Boulevard|Early Romanesque Revival
Unknown|Queens|8/18/1970|141|LP-00141|Friends Meeting House|Individual Landmark|FALSE||137-16 Northern Boulevard|Medieval
Unknown|Queens|4/19/1966|142|LP-00142|The Weeping Beech Tree|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0142.jpg|143-35 37 Avenue|N/A
Unknown|Queens|2/15/1966|143|LP-00143|Bowne House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0143.jpg|37-01 Bowne Street|Colonial
Unknown|Queens|4/19/1966|144|LP-00144|Cornelius Van Wyck House|Individual Landmark|FALSE||126 West Drive|Dutch Colonial
Unknown|Queens|4/19/1966|145|LP-00145|Rufus King House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0145.jpg|150-05 Jamaica Avenue|Colonial
Mifflin E. Bell|Brooklyn|7/19/1966|146|LP-00146|Main Brooklyn Post Office|Individual Landmark|FALSE||291 Cadman Plaza East|Romanesque Revival
Gamaliel King|Brooklyn|4/19/1966|147|LP-00147|Brooklyn Borough Hall|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0147.jpg|225 Joralemon Street|Greek Revival
Frank Freeman|Brooklyn|4/19/1966|148|LP-00148|Old Brooklyn Fire Headquarters|Individual Landmark|FALSE||365 Jay Street|Romanesque Revival
Richard Upjohn & Son|Brooklyn|4/19/1966|149|LP-00149|Green-Wood Cemetery Gates|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0149.jpg|500 25 Street|Gothic Revival
Unknown|Brooklyn|6/21/1966|152|LP-00152|Lefferts Homestead|Individual Landmark|FALSE||95 Prospect Park West|Dutch Colonial
A.J. Davis|Brooklyn|3/15/1966|153|LP-00153|Litchfield Villa|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0153.jpg|95 Prospect Park West|Italianate Villa
McKim Mead White|Brooklyn|12/10/1968|154|LP-00154|The Grecian Shelter|Individual Landmark|FALSE||95 Prospect Park West|Corinthian temple
McKim Mead & White|Brooklyn|3/15/1966|155|LP-00155|Brooklyn Institute of Arts and Sciences (Brooklyn Museum of Art)|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0155.jpg|186 Eastern Parkway|Classical Revival
Frank J. Helmle|Brooklyn|4/19/1966|156|LP-00156|Brooklyn Central Office, Bureau of Fire Communications|Individual Landmark|FALSE||35 Empire Boulevard|Florentine Early Renaissance
Francis H. Kimball, Ebenezer L. Roberts (chapel)|Brooklyn|11/12/1968|160|LP-00160|Emmanuel Baptist Church|Individual Landmark|FALSE||283 Lafayette Avenue|Gothic
Unknown|Brooklyn|3/19/1968|161|LP-00161|Steele House|Individual Landmark|FALSE||200 Lafayette Avenue|Greek Revival, Italianate
Louis Allmendinger|Brooklyn|11/19/1969|162|LP-00162|Russian Orthodox Cathedral of the Transfiguration|Individual Landmark|FALSE||228 North 12 Street|Greek
George B. Post|Brooklyn|5/17/1966|164|LP-00164|Williamsburgh Savings Bank (Broadway)|Individual Landmark|FALSE||175 Broadway|Italian Renaissance
King & Wilcox|Brooklyn|3/15/1966|165|LP-00165|Kings County Savings Bank|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0165.jpg|137 Broadway|French Second Empire
Unknown|Brooklyn|10/19/1966|167|LP-00167|Shelter Pavilion and Attached Buildings, Monsignor|Individual Landmark|FALSE||744 Nassau Avenue|French Garden
Messrs. Morgan|Brooklyn|3/19/1968|168|LP-00168|Reformed Church of South Bushwick|Individual Landmark|FALSE||855 Bushwick Avenue|Greek Revival, Georgian
Unknown|Brooklyn|7/19/1966|169|LP-00169|New Lots Reformed Church|Individual Landmark|FALSE||612 New Lots Avenue|Gothic
Thomas Fardon|Brooklyn|3/15/1966|170|LP-00170|Flatbush Dutch Reformed Church|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0170.jpg|890 Flatbush Avenue|Federal
Unknown|Brooklyn|1/9/1979|0170E|LP-00170E|Flatbush Dutch Reformed Church, Expanded Site|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0170E.jpg|890 Flatbush Avenue|N/A
Unknown|Brooklyn|3/15/1966|171|LP-00171|Erasmus Hall Museum|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0171.jpg|899-925 Flatbush Avenue|Federal
Lawrence B. Valk (parish house)|Brooklyn|3/15/1966|172|LP-00172|New Utrecht Reformed Dutch Church and Parish House|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0172.jpg|8301 18 Avenue|Georgian, Gothic
Lawrence B. Valk|Brooklyn|1/13/1998|0172E|LP-00172E|New Utrecht Reformed Dutch Church and Parish House, Expanded Landmark Site|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0172E.jpg|8301 18 Avenue|Romanesque Revival
Unknown|Brooklyn|1/17/1968|173|LP-00173|Wyckoff-Bennett Homestead|Individual Landmark|FALSE||1669 East 22 Street|Dutch Colonial
Unknown|Brooklyn|2/11/1969|175|LP-00175|Van Nuyse-Magaw House|Individual Landmark|FALSE||1041 East 22 Street|Dutch Colonial
Unknown|Brooklyn|11/19/1969|176|LP-00176|Coe House|Individual Landmark|FALSE||1128 East 34 Street|Dutch Colonial
Unknown|Brooklyn|7/19/1966|177|LP-00177|Flatlands Reformed Church|Individual Landmark|FALSE||1292 East 40 Street|Greek Revival
att. Ezra Weeks|Manhattan|9/20/1966|179|LP-00179|Gracie Mansion|Individual Landmark|FALSE||97 East End Avenue|N/A
Unknown|Manhattan|4/19/1966|181|LP-00181|Willett Street Methodist Episcopal Church|Individual Landmark|FALSE||7-13 Bialystoker Place|N/A
Carl Pfeiffer|Manhattan|11/19/1969|183|LP-00183|Metropolitan Savings Bank|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0183.jpg|9 East 7Th Street|French Second Empire
McKim, Mead & White; Stanford White|Manhattan|4/19/1966|184|LP-00184|Bowery Savings Bank|Individual Landmark|FALSE||130 Bowery|Roman Classical
Unknown|Manhattan|6/21/1966|186|LP-00186|Roman Catholic Orphan Asylum|Individual Landmark|FALSE||32 Prince Street|Federal
Joseph-François Mangin|Manhattan|6/21/1966|187|LP-00187|Saint Patrick's Old Cathedral|Individual Landmark|FALSE||Mott Street At Prince Street|Gothic
Henry Engelbert|Manhattan|1/11/1967|192|LP-00192|Bond Street Savings Bank|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0192.jpg|330 Bowery|Italianate
Henry J. Hardenbergh|Manhattan|5/17/1966|193|LP-00193|Schermerhorn Building|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0193.jpg|376-380 Lafayette Street|N/A
McKim, Mead & White; Stanford White|Manhattan|5/17/1966|196|LP-00196|Judson Memorial Church|Individual Landmark|FALSE||51-55 Washington Square South|Italian Renaissance
Babb, Cook & Willard|Manhattan|10/19/1966|201|LP-00201|De Vinne Press Building|Individual Landmark|FALSE||393-399 Lafayette Street|Romanesque Revival
Frederick A. Peterson|Manhattan|3/15/1966|202|LP-00202|Cooper Union|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0202.jpg|Cooper Square|Italianate
James Renwick, Jr.|Manhattan|3/15/1966|203|LP-00203|Grace Church|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0203.jpg|800 Broadway|Gothic Revival
James Renwick, Jr.|Manhattan|3/15/1966|204|LP-00204|Grace Church Rectory|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0204.jpg|804 Broadway|Gothic Revival
Unknown|Manhattan|4/19/1966|208|LP-00208|30 Jones Street House|Individual Landmark|FALSE||30 Jones Street|Greek Revival
Unknown|Manhattan|4/19/1966|209|LP-00209|28 Jones Street House|Individual Landmark|FALSE||28 Jones Street|Greek Revival
Unknown|Manhattan|4/19/1966|210|LP-00210|26 Jones Street House|Individual Landmark|FALSE||26 Jones Street|Greek Revival
Willoughby J. Edbrooke|Manhattan|3/15/1966|211|LP-00211|United States Appraisers' Store|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0211.jpg|641 Washington Street|Romanesque Revival
Unknown|Manhattan|4/19/1966|212|LP-00212|131 Charles Street House|Individual Landmark|FALSE||131 Charles Street|Federal
Hubert, Pirsson & Co.|Manhattan|3/15/1966|215|LP-00215|Chelsea Apartments|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0215.jpg|222 West 23Rd Street|Victorian Gothic
Richard Upjohn|Manhattan|4/19/1966|216|LP-00216|Church of the Holy Communion Complex|Individual Landmark|FALSE||Sixth Avenue At West 20Th Street|Gothic Revival
Richard Upjohn|Manhattan|4/19/1966|217|LP-00217|Church of the Holy Communion Rectory|Individual Landmark|FALSE||47 West 20Th Street|Gothic Revival
Theodate Pope Riddle|Manhattan|3/15/1966|218|LP-00218|Theodore Roosevelt Birthplace|Individual Landmark|TRUE|http://www.nyc.gov/html/lpc/images/lp/0218.jpg|28 East 20Th Street|N/A
